index,location,type,count,date
467,Sand Lake Elementary,Employees,1,2021-08-15
468,Timber Lakes Elementary,Employees,1,2021-08-15
469,Union Park Elementary,Employees,1,2021-08-15
470,Westridge Middle,Employees,1,2021-08-15
471,Windermere High,Employees,1,2021-08-15
472,Winegard Elementary,Employees,1,2021-08-15
473,Princeton Elementary,Volunteers,1,2021-08-15
474,Acceleration East,Students,1,2021-08-16
475,Aloma Elementary,Students,1,2021-08-16
476,Andover Elementary,Students,1,2021-08-16
477,Apopka Elementary,Students,2,2021-08-16
478,Apopka High,Students,8,2021-08-16
479,Apopka Memorial Middle,Students,2,2021-08-16
480,Arbor Ridge School (K-8),Students,1,2021-08-16
481,Avalon Middle,Students,1,2021-08-16
482,Baldwin Park Elementary,Students,1,2021-08-16
483,Bay Meadows Elementary,Students,1,2021-08-16
484,Blankner School (K-8),Students,3,2021-08-16
485,Boone High,Students,2,2021-08-16
486,Bridgewater Middle,Students,3,2021-08-16
487,Brookshire Elementary,Students,1,2021-08-16
488,Carver Middle,Students,1,2021-08-16
489,Castleview Elementary,Students,1,2021-08-16
490,Clay Springs Elementary,Students,5,2021-08-16
491,Colonial High 9th Grade Center,Students,4,2021-08-16
492,Columbia Elementary,Students,2,2021-08-16
493,Conway Middle,Students,1,2021-08-16
494,Corner Lake Middle,Students,3,2021-08-16
495,Cypress Creek High,Students,1,2021-08-16
496,Cypress Springs Elementary,Students,2,2021-08-16
497,Discovery Middle,Students,2,2021-08-16
498,Dommerich Elementary,Students,1,2021-08-16
499,Dover Shores Elementary,Students,1,2021-08-16
500,East Lake Elementary,Students,1,2021-08-16
501,Edgewater High,Students,4,2021-08-16
502,Endeavor Elementary,Students,1,2021-08-16
503,Frangus Elementary,Students,1,2021-08-16
504,Gotha Middle,Students,1,2021-08-16
505,Hidden Oaks Elementary,Students,3,2021-08-16
506,Horizon High,Students,2,2021-08-16
507,Horizon West Middle,Students,2,2021-08-16
508,Hunter’s Creek Elementary,Students,1,2021-08-16
509,Hunter’s Creek Middle,Students,3,2021-08-16
510,Innovation Middle,Students,1,2021-08-16
511,Jones High,Students,1,2021-08-16
512,Keene’s Crossing Elementary,Students,1,2021-08-16
513,Lake Buena Vista High,Students,1,2021-08-16
514,Lake Como School (K-8),Students,1,2021-08-16
515,Lake Nona High,Students,9,2021-08-16
516,Lake Nona Middle,Students,4,2021-08-16
517,Lakemont Elementary,Students,5,2021-08-16
518,Lakeview Middle,Students,3,2021-08-16
519,Lakeville Elementary,Students,1,2021-08-16
520,Laureate Park Elementary,Students,7,2021-08-16
521,Liberty Middle,Students,1,2021-08-16
522,Little River Elementary,Students,2,2021-08-16
523,Lockhart Elementary,Students,1,2021-08-16
524,Lovell Elementary,Students,1,2021-08-16
525,Meadowbrook Middle,Students,5,2021-08-16
526,MetroWest Elementary,Students,2,2021-08-16
527,Millennia Gardens Elementary,Students,1,2021-08-16
528,Mollie Ray Elementary,Students,2,2021-08-16
529,NorthLake Park Community School,Students,1,2021-08-16
530,Oak Hill Elementary,Students,1,2021-08-16
531,Oak Ridge High,Students,1,2021-08-16
532,Oakshire Elementary,Students,1,2021-08-16
533,Ocoee Elementary,Students,2,2021-08-16
534,Alternative Education Centers,Employees,1,2021-08-16
535,Andover Elementary,Employees,1,2021-08-16
536,Apopka Memorial Middle,Employees,1,2021-08-16
537,Boone High,Employees,1,2021-08-16
538,Clay Springs Elementary,Employees,1,2021-08-16
539,Dommerich Elementary,Employees,1,2021-08-16
540,Dover Shores Elementary,Employees,1,2021-08-16
541,Dr. Phillips High,Employees,3,2021-08-16
542,Edgewater High,Employees,2,2021-08-16
543,ESE Transition School,Employees,1,2021-08-16
544,Glenridge Middle,Employees,1,2021-08-16
545,Horizon West Middle,Employees,1,2021-08-16
546,Jones High,Employees,2,2021-08-16
547,Lake Como School (K-8),Employees,2,2021-08-16
548,Lake George Elementary,Employees,1,2021-08-16
549,Legal Services,Employees,1,2021-08-16
550,Lovell Elementary,Employees,1,2021-08-16
551,Magnolia School,Employees,1,2021-08-16
552,Mollie Ray Elementary,Employees,1,2021-08-16
553,OCPS Academic Center for Excellence,Employees,1,2021-08-16
554,Operations,Employees,9,2021-08-16
555,Orange Technical College - Mid Florida,Employees,1,2021-08-16
556,Positive Pathways Transition Center,Employees,1,2021-08-16
557,Prairie Lake Elementary,Employees,1,2021-08-16
558,Riverside Elementary,Employees,1,2021-08-16
