location,addr,level,lat,long
SUNSHINE ELEMENTARY,"13225 INTERNATIONAL DRIVE ORLANDO, FL 32821",Elementary,28.3865133,-81.4804437
TANGELO PARK ELEMENTARY,"5115 ANZIO ST ORLANDO, FL 32819-8407",Elementary,28.4576553,-81.4494319
THORNEBROOKE ELEMENTARY,"601 THORNEBROOKE DR OCOEE, FL 34761-4626",Elementary,28.5254487,-81.5347867
THREE POINTS ELEMENTARY,"4001 S GOLDENROD RD ORLANDO, FL 32822-5622",Elementary,28.4912222,-81.2831968
TILDENVILLE ELEMENTARY,"1221 BRICK RD WINTER GARDEN, FL 34787-3031",Elementary,28.5575787,-81.6079917
TIMBER LAKES ELEMENTARY,"2149 CROWN HILL BLVD ORLANDO, FL 32828-6875",Elementary,28.5263191,-81.1531284
UCP BAILES COMMUNITY ACADEMY,"4780 DATA COURT ORLANDO, FL 32817",Elementary,28.6089576,-81.2165113
UCP EAST CHARTER,"12702 SCIENCE DR ORLANDO, FL 32826-3016",Elementary,28.5800305,-81.20071349999999
UCP ORANGE CHARTER,"4680 LAKE UNDERHILL RD ORLANDO, FL 32807-1182",Elementary,28.5379108,-81.32679069999999
UCP PINE HILLS CHARTER,"5800 GOLF CLUB BLVD ORLANDO, FL 32808-4800",Elementary,28.5770755,-81.45678
UCP WEST ORANGE CHARTER,"1297 WINTER GARDEN-VINELAND RD #110 WINTER GARDEN, FL 34787-6711",Elementary,28.5436878,-81.58666219999999
UNION PARK ELEMENTARY,"1600 N DEAN RD ORLANDO, FL 32825-5521",Elementary,28.567344,-81.2456879
UNIVERSITY BEHAVIORAL CENTER,"2500 DISCOVERY DRIVE ORLANDO, FL 32826-3709",Elementary,28.5817282,-81.1927488
VENTURA ELEMENTARY,"4400 WOODGATE BLVD ORLANDO, FL 32822-3711",Elementary,28.5001149,-81.2976448
VILLAGE PARK ELEMENTARY,"12253 LAKE NONA GATEWAY RD ORLANDO, FL 32827",Elementary,28.3870766,-81.27516299999999
VISTA LAKES ELEMENTARY,"6050 LAKE CHAMPLAIN DR ORLANDO, FL 32829-8019",Elementary,28.4743699,-81.2716708
VISTA POINTE ELEMENTARY,"6900 MARKET PLACE DR ORLANDO, FL 32822-8782",Elementary,28.471931,-81.2870891
WASHINGTON SHORES ELEMENTARY,"944 W LAKE MANN DR ORLANDO, FL 32805-3435",Elementary,28.5293417,-81.4224899
WATER SPRING ELEMENTARY,"16000 WATER SPRING BLVD WINTER GARDEN, FL 34787",Elementary,28.4029571,-81.64764129999999
WATERBRIDGE ELEMENTARY,"11100 GALVIN DR ORLANDO, FL 32837-9197",Elementary,28.407492,-81.4178108
WATERFORD ELEMENTARY,"12950 LAKE UNDERHILL RD ORLANDO, FL 32828-9001",Elementary,28.5425029,-81.1960209
WEDGEFIELD K-8,"3835 BANCROFT BLVD ORLANDO, FL 32833-4263",Elementary,28.4906696,-81.0730422
WEST CREEK ELEMENTARY,"5056 TACON DR ORLANDO, FL 32837-4821",Elementary,28.3574721,-81.4571661
WEST OAKS ELEMENTARY,"905 DORSCHER RD ORLANDO, FL 32818-6476",Elementary,28.5569619,-81.4829913
WESTBROOKE ELEMENTARY,"500 TOMYN BLVD OCOEE, FL 34761-4881",Elementary,28.5398269,-81.53598679999999
WESTPOINTE ELEMENTARY,"7525 WESTPOINTE BLVD ORLANDO, FL 32835",Elementary,28.5200067,-81.49377109999999
WETHERBEE ELEMENTARY,"701 E WETHERBEE RD ORLANDO, FL 32824-7309",Elementary,28.3936788,-81.3621945
WHISPERING OAK ELEMENTARY,"15300 STONEYBROOK WEST PKWY WINTER GARDEN, FL 34787-4733",Elementary,28.5144736,-81.61277679999999
WINDERMERE ELEMENTARY,"11125 PARK AVE WINDERMERE, FL 34786-7828",Elementary,28.508473,-81.54421579999999
WINDY RIDGE K-8,"3900 BEECH TREE DR ORLANDO, FL 32835-2501",Elementary,28.5034269,-81.49825919999999
WINEGARD ELEMENTARY,"7055 WINEGARD RD ORLANDO, FL 32809-7101",Elementary,28.4538508,-81.3826441
WOLF LAKE ELEMENTARY,"1771 W PONKAN RD APOPKA, FL 32712-5623",Elementary,28.7295764,-81.5451586
WYNDHAM LAKES ELEMENTARY,"14360 WYNDHAM LAKES BLVD ORLANDO, FL 32824-4218",Elementary,28.3550799,-81.3490511
ZELLWOOD ELEMENTARY,"3551 WASHINGTON ST ZELLWOOD, FL 32798-5308",Elementary,28.7352033,-81.6012365
ALOMA HIGH CHARTER,"495 N SEMORAN BLVD WINTER PARK, FL 32792-3802",High,28.6040447,-81.3056417
APOPKA HIGH,"555 W MARTIN ST APOPKA, FL 32712-3544",High,28.6934856,-81.5219269
BOONE HIGH,"1000 E KALEY ST ORLANDO, FL 32806-3105",High,28.5185649,-81.3653769
CHANCERY HIGH CHARTER,"7001 S ORANGE BLOSSOM TRL ORLANDO, FL 32809-5714",High,28.4645929,-81.3952742
COLONIAL HIGH,"6100 OLEANDER DR ORLANDO, FL 32807-3437",High,28.5519543,-81.30204340000002
COLONIAL HIGH 9TH GRADE CENTER,"7775 VALENCIA COLLEGE LN ORLANDO, FL 32807-6248",High,28.55555,-81.28357299999999
CORNERSTONE ACADEMY HIGH CHARTER,"5903 RANDOLPH AVE BELLE ISLE, FL 32809-4241",High,28.4724772,-81.3664133
CYPRESS CREEK HIGH,"1101 BEAR CROSSING DR ORLANDO, FL 32824-6004",High,28.3811292,-81.3798095
DR PHILLIPS HIGH,"6500 TURKEY LAKE RD ORLANDO, FL 32819-4718",High,28.4705613,-81.47664309999999
